postal_code,type_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
7880,1,0.7788053177819432,0.0,0,-0.4413434562304958,-0.20286546267070638,1.5112886035325672,0,0.7895578616051979,0,1
9031,1,-0.13087201816275776,0.0,0,-0.4413434562304958,-0.20286546267070638,0.8114521550167951,0,0.08919472684058667,0,1
2800,1,-0.09718026497962069,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.2057730272719162,4,1
6769,1,,0.0,0,-0.4413434562304958,-0.20079227292229943,-1.2880571905305216,0,1.7322688747486745,0,1
4800,0,-0.4340977968109914,0.0,0,-0.4413434562304958,-0.20286546267070638,0.8114521550167951,0,-0.29841365356353144,0,0
8650,0,-0.3105613684728222,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,1
9600,1,0.10497025411920174,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.17983365191026396,0,0
8660,0,-0.68117065348733,0.0,0,3.3281437409595998,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,1,1
9690,1,-0.35548370605033824,0.0,0,-0.4413434562304958,0.3403102514119166,0.8114521550167951,0,-0.03605539990567711,4,1
9220,1,0.16112317609109686,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.1575999016002763,0,1
5570,1,0.23973726685175004,0.0,0,-0.4413434562304958,-0.20286546267070638,1.5112886035325672,0,-0.23838252772656476,0,1
3800,1,-0.3891754592334753,0.0,0,-0.4413434562304958,-0.20286546267070638,1.5112886035325672,0,0.024716850941622476,0,1
9600,0,-0.8945517569805315,0.0,0,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,-0.29841365356353144,0,0
8500,0,-0.5576342251491607,0.0,0,-0.4413434562304958,-0.20286546267070638,0.1116157065010229,0,-0.29841365356353144,0,1
1300,1,3.024922196657748,0.0,0,-0.4413434562304958,-0.20286546267070638,1.5112886035325672,0,0.7680652363055431,0,1
2100,1,-0.23194727771216897,0.0,0,-0.11824455361420189,-0.20286546267070638,-1.2880571905305216,0,-0.25394615294355616,4,1
9080,1,2.8789245995308206,0.0,1,-0.4413434562304958,-0.20286546267070638,-1.2880571905305216,0,1.205328992401967,0,1
