link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,price_per_sqm
https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/20354552,20354552,Gavere,9890,199000,APARTMENT,APARTMENT,70.0,0.0,0,0.0,0.0,2.0,0,0.0,UNKNOWN,GOOD,FOR_SALE,2842.8571428571427
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20209470,20209470,OUDENAARDE,9700,265000,HOUSE,HOUSE,178.0,0.0,0,0.0,0.0,3.0,0,274.0,INSTALLED,TO_BE_DONE_UP,FOR_SALE,1488.7640449438202
https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/20369154,20369154,SERAING,4100,299900,APARTMENT,APARTMENT,107.0,0.0,0,24.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN,FOR_SALE,2802.803738317757
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20048350,20048350,Seraing,4101,299000,HOUSE,HOUSE,140.0,0.0,0,50.0,20.0,3.0,0,288.0,INSTALLED,AS_NEW,FOR_SALE,2135.714285714286
https://www.immoweb.be/en/classified/apartment/for-sale/landegem/9850/20364538,20364538,LANDEGEM,9850,299000,APARTMENT,APARTMENT,78.0,0.0,0,12.0,23.0,3.0,0,0.0,INSTALLED,GOOD,FOR_SALE,3833.3333333333335
https://www.immoweb.be/en/classified/house/for-sale/pecq/7740/20169741,20169741,Pecq,7740,225000,HOUSE,HOUSE,244.0,0.0,0,32.0,0.0,2.0,0,185.0,UNKNOWN,GOOD,FOR_SALE,922.1311475409836
https://www.immoweb.be/en/classified/apartment/for-sale/de%20panne/8660/20210791,20210791,De Panne,8660,249000,APARTMENT,APARTMENT,87.0,0.0,0,0.0,0.0,1.0,0,0.0,UNKNOWN,GOOD,FOR_SALE,2862.0689655172414
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20366792,20366792,Eeklo,9900,175000,HOUSE,HOUSE,68.0,0.0,0,0.0,0.0,3.0,0,0.0,INSTALLED,TO_BE_DONE_UP,FOR_SALE,2573.529411764706
https://www.immoweb.be/en/classified/house/for-sale/poperinge/8970/20377289,20377289,Poperinge,8970,269000,HOUSE,HOUSE,152.0,0.0,0,0.0,0.0,0.0,0,186.0,UNKNOWN,GOOD,FOR_SALE,1769.7368421052631
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20376936,20376936,MECHELEN,2800,370000,HOUSE,HOUSE,120.0,0.0,0,0.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN,FOR_SALE,3083.3333333333335
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10762128,10762128,Gent,9000,290000,APARTMENT,APARTMENT,78.0,0.0,0,0.0,0.0,0.0,0,0.0,INSTALLED,GOOD,FOR_SALE,3717.948717948718
https://www.immoweb.be/en/classified/apartment/for-sale/zelzate/9060/20388543,20388543,Zelzate,9060,155000,APARTMENT,APARTMENT,109.0,0.0,0,0.0,0.0,0.0,0,0.0,INSTALLED,GOOD,FOR_SALE,1422.0183486238532
https://www.immoweb.be/en/classified/apartment/for-sale/melle/9090/20374002,20374002,Melle,9090,420000,APARTMENT,APARTMENT,111.0,0.0,0,0.0,0.0,0.0,0,0.0,UNKNOWN,GOOD,FOR_SALE,3783.7837837837837
https://www.immoweb.be/en/classified/house/for-sale/marcinelle/6001/20260925,20260925,MARCINELLE,6001,255000,HOUSE,HOUSE,200.0,0.0,1,0.0,0.0,4.0,0,410.0,SEMI_EQUIPPED,GOOD,FOR_SALE,1275.0
