link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20152829,20152829,Oostende,8400,146775.0,APARTMENT,APARTMENT,45.0,,0,12,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20320216,20320216,Oostende,8400,195000.0,APARTMENT,APARTMENT,80.0,0.0,0,null,null,,0,null,null,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314623,20314623,Sint-Denijs-Westrem,9051,390000.0,APARTMENT,APARTMENT,96.0,0.0,0,16,null,,0,null,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heppignies/6220/20366871,20366871,Heppignies,6220,199000.0,HOUSE,HOUSE,125.0,,0,,null,4.0,0,160,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/zelzate/9060/10427118,10427118,Zelzate,9060,395500.0,APARTMENT,APARTMENT,111.0,0.0,0,13,null,,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20031057,20031057,MOLENBEEK-SAINT-JEAN,1080,219500.0,APARTMENT,APARTMENT,60.0,,0,5,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20368034,20368034,Schaerbeek,1030,199000.0,APARTMENT,APARTMENT,85.0,0.0,0,,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/artres/59269/20368498,20368498,ARTRES,59269,1470000.0,HOUSE,HOUSE,260.0,,0,null,null,4.0,0,8000,null,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/20330018,20330018,TURNHOUT,2300,202000.0,APARTMENT,APARTMENT,60.0,,0,6,null,3.0,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20212924,20212924,Brussel,1000,299000.0,APARTMENT,APARTMENT,90.0,0.0,0,,null,4.0,0,null,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20360791,20360791,Molenbeek-Saint-Jean,1080,269000.0,APARTMENT,APARTMENT,130.0,,0,32,null,2.0,0,null,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20363172,20363172,EVERE,1140,198000.0,APARTMENT,APARTMENT,45.0,1.0,0,4,null,3.0,0,null,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bocholt/3950/20384788,20384788,Bocholt,3950,335150.0,HOUSE,HOUSE,186.0,,0,null,null,2.0,0,310,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20337619,20337619,HOBOKEN,2660,230000.0,APARTMENT,APARTMENT,91.0,,0,12,null,4.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20377767,20377767,Oudenaarde,9700,445000.0,HOUSE,HOUSE,153.0,0.0,0,,null,3.0,0,316,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wijnegem/2110/20382537,20382537,Wijnegem,2110,585000.0,HOUSE,HOUSE,205.0,,0,30,120,3.0,0,348,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20307697,20307697,Uccle,1180,520000.0,APARTMENT,APARTMENT,95.0,,0,18,null,2.0,0,null,USA_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/20242967,20242967,Zwevegem,8550,583890.0,HOUSE,HOUSE,160.0,,0,null,null,,0,815,HYPER_EQUIPPED,GOOD,FOR_SALE
