link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/attert/6717/20364312,20364312,Attert,6717,490000.0,HOUSE,HOUSE,171.0,0.0,0,75,896,4.0,0,1031,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/s%C3%A8te/34200/20380088,20380088,Sète,34200,150000.0,APARTMENT,APARTMENT,54.0,0.0,0,null,null,2.0,0,null,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20371619,20371619,Knokke-Heist,8300,1595000.0,HOUSE,HOUSE,188.0,0.0,0,,null,3.0,0,600,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/fontaine-leveque/6140/20387747,20387747,Fontaine-l'Eveque,6140,218000.0,HOUSE,HOUSE,180.0,0.0,0,10,90,3.0,0,180,NOT_INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20383026,20383026,ANTWERPEN,2100,203000.0,APARTMENT,APARTMENT,80.0,,0,null,null,2.0,0,null,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/montignies-sur-sambre/6061/20382621,20382621,Montignies-Sur-Sambre,6061,125000.0,HOUSE,HOUSE,133.0,,0,44,270,2.0,0,354,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20382078,20382078,Knokke-Zoute,8300,695000.0,APARTMENT,APARTMENT,72.0,0.0,0,,null,3.0,0,null,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20224734,20224734,DESTELBERGEN,9070,620000.0,HOUSE,HOUSE,197.0,,0,null,null,,0,1031,null,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/galmaarden/1570/20374338,20374338,Galmaarden,1570,495000.0,HOUSE,HOUSE,384.0,,0,,null,3.0,0,843,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/watou/8978/10836471,10836471,Watou,8978,535000.0,HOUSE,HOUSE,87.0,1.0,0,,null,,0,10319,,JUST_RENOVATED,FOR_SALE
