link,property_id,locality_name,postal_code,latitude,longitude,price,type_of_property,subtype_of_property,construction_year,living_area,bedrooms,nr_bathrooms,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/bierbeek/3360/20389540,20389540,Bierbeek,3360,50.8311382,4.7880277,395000,HOUSE,HOUSE,,278.0,5,2.0,,0,null,null,,0,1096,null,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ferrieres/4190/20390884,20390884,Ferrières,4190,50.3893968,5.6617853,199000,HOUSE,HOUSE,2023,,2,1.0,0.0,0,null,767,4.0,0,858,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8434/20391657,20391657,Middelkerke,8434,51.1542013,2.7740911,449000,HOUSE,HOUSE,,178.0,3,2.0,,1,null,null,4.0,0,501,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20404835,20404835,WESTENDE,8434,51.1688243,2.7733436,225000,APARTMENT,APARTMENT,2026,52.0,1,1.0,,0,10,null,,0,null,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%88ge/4000/20397361,20397361,LIÈGE,4000,50.638756,5.5940051,199000,APARTMENT,APARTMENT,,104.0,3,2.0,,0,null,null,2.0,0,null,SEMI_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dentergem/8720/20384302,20384302,Dentergem,8720,50.937937,3.4291376,395000,HOUSE,HOUSE,1993,164.0,4,1.0,,0,,638,4.0,0,766,null,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/sprimont/4140/20212242,20212242,Sprimont,4140,50.48603079999999,5.670478399999999,159000,HOUSE,HOUSE,,96.0,3,1.0,0.0,0,7,74,3.0,0,179,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/sint-denijs-westrem/9051/20376852,20376852,Sint-Denijs-Westrem,9051,,,623439,HOUSE,HOUSE,,165.0,3,1.0,,0,null,null,,0,182,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20388648,20388648,Gent,9000,51.0593085,3.7201097,765000,APARTMENT,APARTMENT,,124.0,2,2.0,,0,21,null,,0,null,null,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20283680,20283680,Uccle,1180,50.8028298,4.3504661,665000,HOUSE,HOUSE,1928,216.0,4,2.0,0.0,0,,200,2.0,0,268,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/20381990,20381990,Evergem,9940,51.1752195,3.7753981,540000,HOUSE,HOUSE,2002,205.0,5,1.0,0.0,0,null,null,,0,903,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/hemiksem/2620/20387439,20387439,HEMIKSEM,2620,51.1475234,4.3407276,399000,HOUSE,HOUSE,,143.0,4,0.0,,0,,130,2.0,0,280,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2220/20400481,20400481,Heist-op-den-Berg,2220,51.0403655,4.6671492,375000,HOUSE,HOUSE,1919,163.0,3,1.0,0.0,0,,null,,0,420,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/knokke-zoute/8300/20312236,20312236,Knokke-Zoute,8300,51.3391166,3.2671637,1395000,HOUSE,HOUSE,2011,164.0,3,1.0,0.0,0,,null,3.0,0,465,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20388820,20388820,Oudenaarde,9700,50.8325517,3.6048665,399000,HOUSE,HOUSE,1971,213.0,5,1.0,0.0,0,,null,4.0,0,420,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20323463,20323463,HASSELT,3500,50.9345495,5.3316777,175000,APARTMENT,APARTMENT,1969,112.0,1,1.0,,0,null,null,3.0,0,null,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20051726,20051726,Ronse,9600,50.7466501,3.609486299999999,199000,HOUSE,HOUSE,1918,90.0,2,1.0,0.0,0,null,null,2.0,0,140,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20358533,20358533,Antwerpen (2000),2000,51.2215524,4.4170203,420000,APARTMENT,APARTMENT,1965,120.0,3,2.0,,0,,null,,0,null,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/schelle/2627/20401016,20401016,Schelle,2627,51.1250697,4.3584212,375000,HOUSE,HOUSE,1980,226.0,3,1.0,,0,,null,3.0,0,300,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wemmel/1780/20311838,20311838,Wemmel,1780,50.9063372,4.3053419,549000,HOUSE,HOUSE,1952,,3,1.0,,0,,null,2.0,0,140,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/marbella%20%2829604%29/29604/20395712,20395712,Marbella (29604),29604,36.503939,-4.7588042,683000,APARTMENT,APARTMENT,null,230.0,3,2.0,0.0,0,null,null,0.0,0,null,null,null,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/glabbeek/3380/20393650,20393650,Glabbeek,3380,50.8473157,4.9568417,372000,APARTMENT,APARTMENT,2024,87.0,2,1.0,0.0,0,35,349,3.0,0,null,null,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wielsbeke/8710/20190688,20190688,Wielsbeke,8710,,,597891,HOUSE,HOUSE,,181.0,4,2.0,,0,null,null,,0,721,HYPER_EQUIPPED,GOOD,FOR_SALE
